gaze_X, gaze_Y, fixationTime
3395,2137,700
3398,2139,710
3400,2142,720
3402,2146,733
3404,2150,743
3406,2152,754
3407,2154,765
3409,2153,777
3411,2153,787
3410,2155,799
638,2022,0
549,2034,10
457,2054,21
390,2071,33
347,2085,44
306,2099,54
305,2096,66
311,2095,77
318,2097,87
328,2100,101
337,2103,111
340,2104,121
342,2106,133
343,2106,144
345,2107,154
347,2107,167
349,2107,177
349,2107,187
349,2107,200
298,2115,0
255,2118,10
209,2121,22
174,2122,34
144,2119,43
127,2115,56
115,2112,68
106,2111,77
106,2111,89
108,2110,100
109,2107,111
111,2101,122
110,2098,133
111,2099,144
110,2102,155
111,2106,166
111,2109,176
111,2109,188
111,2110,199
111,2110,209
113,2109,222
113,2110,233
112,2107,243
85,2122,0
81,2134,11
82,2131,22
83,2128,32
83,2125,44
83,2118,54
83,2110,65
81,2104,78
77,2103,88
72,2107,100
68,2112,111
69,2115,121
72,2113,134
92,2105,0
104,2104,11
115,2105,21
123,2107,32
129,2106,44
126,2104,54
112,2103,66
96,2102,77
85,2102,87
76,2100,99
78,2096,111
82,2091,121
82,2088,132
81,2086,144
81,2086,154
79,2086,168
78,2088,177
78,2090,187
79,2094,199
80,2098,213
82,2100,221
85,2102,232
89,2104,244
93,2102,254
96,2100,266
98,2096,277
100,2090,287
103,2087,300
106,2081,310
109,2078,321
111,2077,333
113,2074,343
115,2074,354
115,2073,366
112,2075,376
108,2078,387
105,2082,400
102,2086,410
102,2088,420
103,2089,433
102,2090,443
100,2090,454
98,2090,466
98,2092,477
100,2095,487
102,2098,499
105,2101,510
109,2101,521
111,2099,532
112,2097,543
112,2095,554
110,2096,565
108,2096,577
105,2096,587
103,2095,598
102,2093,610
99,2080,621
96,2070,633
97,2063,643
99,2061,654
103,2068,665
107,2074,677
108,2078,687
105,2076,699
104,2079,710
102,2086,720
101,2093,732
102,2103,743
105,2108,753
107,2109,765
111,2108,777
115,2105,787
118,2102,799
121,2099,811
122,2097,820
125,2093,832
127,2088,843
129,2083,853
130,2079,865
128,2074,877
125,2070,887
122,2067,898
119,2064,909
117,2063,920
115,2063,932
115,2064,943
117,2065,954
120,2065,965
125,2066,976
130,2066,987
134,2066,998
137,2069,1010
138,2072,1020
138,2075,1032
137,2079,1043
136,2081,1053
134,2082,1065
133,2083,1076
132,2083,1086
129,2084,1098
127,2084,1110
127,2084,1120
222,1533,0
239,1306,11
255,1088,20
266,911,33
276,736,44
284,592,55
290,483,67
294,420,77
295,401,88
296,393,100
297,392,111
298,391,121
298,389,134
295,356,0
289,306,11
282,255,21
276,200,37
271,155,44
270,139,55
270,125,66
268,114,78
266,106,88
264,98,100
262,92,111
260,87,121
259,84,133
257,80,144
256,77,155
255,75,167
252,72,178
251,70,188
249,68,201
246,65,211
244,63,221
242,61,233
242,60,244
244,60,254
246,61,267
242,58,0
235,54,9
222,46,20
216,43,33
206,37,43
194,29,53
185,22,65
177,17,76
173,14,87
180,17,99
198,27,110
205,31,120
212,36,132
211,37,144
197,31,153
195,29,165
193,28,176
193,27,187
188,23,198
185,19,210
182,15,221
176,10,232
174,8,243
171,5,253
166,1,266
163,-1,276
160,-4,286
158,-9,298
157,-13,309
155,-17,321
151,-21,332
150,-21,343
149,-22,353
151,-22,365
153,-22,376
155,-21,386
157,-19,398
159,-17,410
163,-16,420
168,-17,432
169,-18,443
170,-20,454
169,-21,466
168,-22,477
169,-23,487
170,-22,499
171,-21,510
1085,49,0
1339,63,12
1498,71,23
1567,76,34
1657,83,45
1732,88,56
1794,94,67
1845,100,78
1854,105,90
1859,112,101
1855,118,111
1852,122,123
1850,124,133
1851,123,146
1853,122,156
1854,124,167
1853,126,178
1852,130,189
1851,134,201
1851,136,211
1854,140,223
1856,144,235
1859,148,244
1863,150,256
1864,151,267
1863,151,278
1856,148,290
1846,143,302
1836,138,311
1826,132,323
1822,128,338
1819,125,345
1817,119,355
1816,114,365
1816,108,378
1817,102,388
1818,99,399
1818,98,410
1818,96,422
1817,95,433
1817,94,444
1818,93,456
1820,92,466
1821,91,477
1822,90,489
1821,91,500
1820,91,511
1819,90,522
1815,89,533
1812,88,545
1808,88,556
1805,88,565
1803,89,577
1801,89,588
1801,90,599
1801,90,611
1801,90,622
1802,90,633
1802,89,644
1803,88,655
1803,88,666
1802,91,677
1801,95,688
1800,99,700
1800,101,711
1802,99,723
1804,97,732
1808,94,745
1811,92,755
1815,92,766
1818,93,778
1821,92,789
1823,92,799
1824,91,811
1825,88,822
1824,85,833
1822,82,843
1821,82,855
1819,85,866
1818,88,879
1817,91,888
1818,93,899
1821,94,911
1825,97,922
1828,99,937
1829,101,945
1828,100,956
1826,96,966
1823,92,978
1821,89,988
1819,88,999
1816,89,1011
1812,90,1022
1809,91,1033
1806,91,1045
1806,91,1056
1809,91,1066
1818,93,1077
1826,95,1089
1832,97,1098
1836,100,1110
1831,99,1122
1826,99,1132
1824,99,1144
1823,98,1154
1823,99,1166
1819,98,1178
1815,96,1188
1810,94,1198
1809,94,1210
1811,96,1221
1814,98,1232
