gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
3182,-35,-654,1435,0
3194,-29,-654,1436,14
3219,-18,-654,1437,24
3236,-12,-654,1437,34
3240,-10,-654,1437,46
3245,-9,-655,1438,57
3251,-13,-655,1438,68
3256,-17,-655,1439,80
3259,-21,-655,1440,91
3260,-25,-655,1440,101
3257,-28,-655,1440,114
3252,-30,-654,1440,124
3228,-42,-653,1445,0
3234,-48,-653,1445,12
3241,-55,-651,1447,23
3249,-58,-651,1447,33
3251,-58,-650,1448,45
3255,-58,-648,1448,57
3259,-55,-648,1448,67
3264,-52,-647,1447,79
3268,-47,-646,1449,89
3271,-44,-646,1449,100
3273,-43,-645,1449,113
3275,-42,-644,1448,123
3276,-41,-644,1448,134
3275,-39,-644,1449,146
3274,-38,-643,1450,157
3273,-37,-643,1451,167
3271,-37,-644,1451,179
3268,-38,-643,1452,190
3264,-38,-643,1452,200
3261,-38,-643,1453,212
3259,-41,-643,1453,223
3259,-43,-643,1453,234
3259,-44,-643,1453,245
3258,-43,-644,1453,257
3257,-41,-644,1453,267
3255,-38,-644,1453,279
3256,-36,-646,1454,290
3258,-39,-646,1454,301
3261,-41,-646,1454,312
3262,-43,-647,1454,323
3263,-45,-647,1454,333
3262,-44,-647,1454,345
3262,-44,-649,1452,356
3262,-46,-649,1452,367
3262,-46,-649,1452,379
3262,-47,-650,1452,390
3263,-45,-650,1452,400
3264,-43,-650,1452,413
3264,-41,-651,1453,423
3254,-47,-653,1456,0
3251,-42,-654,1457,12
3247,-37,-654,1459,22
3206,-31,-655,1462,0
3209,-34,-656,1462,12
3222,-40,-656,1463,23
3234,-43,-656,1463,34
3241,-47,-656,1463,46
3245,-49,-656,1463,56
3247,-51,-656,1463,67
3251,-52,-657,1463,79
3255,-52,-658,1464,89
3258,-51,-658,1464,100
3263,-50,-658,1463,112
3266,-49,-660,1462,123
3267,-48,-660,1462,134
3267,-48,-660,1461,146
3265,-49,-661,1459,157
3261,-50,-661,1459,167
3254,-51,-662,1460,179
3249,-50,-663,1460,190
3244,-50,-663,1460,201
3242,-48,-664,1460,213
3242,-47,-664,1460,223
3243,-47,-664,1460,234
3246,-47,-665,1459,245
3250,-46,-666,1459,257
3255,-46,-666,1459,267
3260,-42,-666,1459,278
3265,-39,-667,1458,290
3268,-37,-667,1458,299
3269,-36,-667,1458,312
3270,-36,-668,1459,323
3269,-36,-668,1459,334
3269,-37,-668,1459,345
3268,-38,-669,1459,357
3265,-38,-669,1459,367
3262,-39,-669,1458,379
3258,-39,-670,1458,390
3256,-40,-670,1458,400
3255,-42,-670,1457,412
3251,-43,-670,1457,423
3247,-45,-670,1457,433
3244,-46,-670,1458,445
3242,-47,-671,1460,456
3244,-47,-671,1460,466
3246,-47,-671,1460,478
3248,-48,-671,1461,490
3249,-49,-671,1461,500
3255,-50,-671,1461,512
3261,-50,-671,1462,523
3267,-49,-671,1462,535
3273,-48,-671,1462,545
3275,-46,-671,1463,557
3277,-43,-671,1463,567
3279,-41,-671,1463,579
3278,-39,-671,1463,590
3276,-37,-671,1463,600
3274,-35,-671,1463,611
3273,-34,-671,1463,623
3273,-37,-671,1463,633
3273,-41,-671,1463,645
3273,-45,-671,1464,656
3273,-47,-671,1464,667
3274,-47,-671,1464,678
3277,-45,-671,1465,689
3282,-43,-671,1465,701
3286,-40,-670,1465,712
3291,-37,-670,1465,723
3293,-34,-670,1465,733
3290,-33,-670,1465,746
3285,-31,-670,1466,757
3279,-30,-670,1466,767
3269,-30,-670,1466,779
3260,-31,-670,1466,789
3252,-33,-670,1466,800
3244,-36,-670,1467,811
3242,-37,-670,1467,824
3241,-36,-670,1467,833
3242,-36,-670,1466,845
3244,-36,-670,1466,857
3245,-35,-670,1466,866
3239,1606,-666,1452,0
3250,1678,-666,1452,10
3268,1772,-665,1451,22
3283,1866,-665,1450,33
3297,1941,-665,1450,43
3305,1962,-664,1448,55
3307,1960,-663,1447,66
3308,1957,-663,1447,78
3307,1955,-662,1446,88
3302,1959,-662,1445,100
3297,1964,-662,1446,111
3289,1971,-661,1446,122
3281,1976,-661,1446,133
3272,1976,-661,1446,145
3264,1975,-662,1447,155
3258,1973,-662,1447,166
3254,1972,-662,1447,176
3255,1974,-662,1446,189
3255,1976,-662,1445,200
3258,1980,-662,1445,210
3262,1984,-662,1443,222
3266,1987,-661,1442,234
3272,1993,-661,1442,244
3274,1997,-661,1440,256
3277,1999,-661,1438,266
3281,2002,-661,1438,277
3282,2003,-661,1437,288
3282,2003,-661,1437,299
3281,2005,-661,1437,311
3279,2009,-661,1437,322
3278,2013,-659,1437,333
3232,2042,-661,1436,0
3225,2058,-661,1434,12
3239,2077,-661,1434,21
3279,2093,-661,1434,33
